Run,Objective 1,Objective 2
42,0.8600583546412883,0.9135172474836407
42,0.9135172474836407,0.8600583546412883
43,0.8600583546412883,0.9135172474836407
43,0.9135172474836407,0.8600583546412883
44,0.8600583546412883,0.9135172474836407
44,0.9135172474836407,0.8600583546412883
45,0.8600583546412883,0.9135172474836407
45,0.9135172474836407,0.8600583546412883
46,0.8600583546412883,0.9135172474836407
46,0.9135172474836407,0.8600583546412883
47,0.8600583546412883,0.9135172474836407
47,0.9135172474836407,0.8600583546412883
48,0.8600583546412883,0.9135172474836407
48,0.9135172474836407,0.8600583546412883
49,0.8600583546412883,0.9135172474836407
49,0.9135172474836407,0.8600583546412883
50,0.8600583546412883,0.9135172474836407
50,0.9135172474836407,0.8600583546412883
51,0.8600583546412883,0.9135172474836407
51,0.9135172474836407,0.8600583546412883
52,0.8600583546412883,0.9135172474836407
52,0.9135172474836407,0.8600583546412883
53,0.8600583546412883,0.9135172474836407
53,0.9135172474836407,0.8600583546412883
54,0.8600583546412883,0.9135172474836407
54,0.9135172474836407,0.8600583546412883
55,0.8600583546412883,0.9135172474836407
55,0.9135172474836407,0.8600583546412883
56,0.8600583546412883,0.9135172474836407
56,0.9135172474836407,0.8600583546412883
57,0.8600583546412883,0.9135172474836407
57,0.9135172474836407,0.8600583546412883
58,0.8600583546412883,0.9135172474836407
58,0.9135172474836407,0.8600583546412883
59,0.8600583546412883,0.9135172474836407
59,0.9135172474836407,0.8600583546412883
60,0.8600583546412883,0.9135172474836407
60,0.9135172474836407,0.8600583546412883
61,0.8600583546412883,0.9135172474836407
61,0.9135172474836407,0.8600583546412883
62,0.8600583546412883,0.9135172474836407
62,0.9135172474836407,0.8600583546412883
63,0.8600583546412883,0.9135172474836407
63,0.9135172474836407,0.8600583546412883
64,0.8600583546412883,0.9135172474836407
64,0.9135172474836407,0.8600583546412883
65,0.8600583546412883,0.9135172474836407
65,0.9135172474836407,0.8600583546412883
66,0.8600583546412883,0.9135172474836407
66,0.9135172474836407,0.8600583546412883
67,0.8600583546412883,0.9135172474836407
67,0.9135172474836407,0.8600583546412883
68,0.8600583546412883,0.9135172474836407
68,0.9135172474836407,0.8600583546412883
69,0.8600583546412883,0.9135172474836407
69,0.9135172474836407,0.8600583546412883
70,0.8600583546412883,0.9135172474836407
70,0.9135172474836407,0.8600583546412883
71,0.8600583546412883,0.9135172474836407
71,0.9135172474836407,0.8600583546412883
