Run,Objective 1,Objective 2
42,4.7775206566258195,8.554994084320986
42,8.613003391983975,4.236659058404852
42,3.832564887971416,8.632526668281388
42,8.180733913917893,6.845842467624843
42,6.444877613009648,8.254451612005754
42,8.824008546998243,3.372255021118335
42,9.103039569487398,1.4140967164024256
42,4.947357833620173,8.513413811292924
42,9.06333154216237,2.03743563181651
42,8.697149939504275,4.165476966762978
42,7.278910938419291,8.061411792164368
42,8.128622790165467,7.064745115413438
42,8.078247218394313,7.256333084147787
42,7.940659199133121,7.563956881088773
42,8.98462356267046,2.563204434728137
42,6.289746989289483,8.285465204676207
42,8.45978361770842,5.012407897783884
42,5.245321493328492,8.45967845647284
42,4.330431966343681,8.59425638574758
42,3.9724822865452145,8.622176012368831
42,5.7503554415201235,8.37438320245291
42,8.92559419903482,2.914801436761501
42,8.27539082621648,6.339029992909474
42,6.594545868578337,8.203115121666611
42,9.092283169359154,1.6480933154271933
42,7.627736600989787,7.709226410294009
42,3.383762212521718,8.635993001977225
42,7.08659242930992,8.127594035466762
42,8.95690367932635,2.7581907771197827
42,8.408425924307673,5.672453950928485
42,7.569727831540441,8.04044232205283
42,8.30550454282858,6.181255810086597
42,8.374885889976124,5.795220833812268
42,9.072480122968157,1.8887221537076504
42,8.442171215112726,5.488145271375073
42,8.734984931436708,3.8491741889293367
42,9.039049748264548,2.318116145351202
42,8.5713783437024,4.781939181418122
42,8.230865926202622,6.534162123148679
42,7.572387283391935,7.841966117559298
42,8.339478178404958,6.003258432359006
42,9.115288445971688,1.101753191578606
42,4.130306421384115,8.608668346617032
42,7.791517390680412,7.581717186984251
42,5.094780388985723,8.496534581446744
42,8.877351651499007,3.1320439887000013
42,3.31950486401291,8.638938758988713
42,6.046226071607757,8.315826767138262
42,4.61120175828979,8.574036861769912
42,8.038116347477889,7.451959265483464
43,6.22277962265965,8.30047021763129
43,7.255438265861061,8.088530489583944
43,3.7283529865739293,8.681336064452598
43,6.9973641499966375,8.154102209323046
43,5.3969902183336105,8.45786032164275
43,5.559868629949881,8.430460602240423
43,8.59563716562218,3.931262579653207
43,8.463728887833694,5.224052622536191
43,6.050104688311748,8.333798562971605
43,3.278163072708722,8.715921095109206
43,8.114025751041991,7.177365018338635
43,7.56848140466727,8.040437801107371
43,4.866381022315345,8.541409235627606
43,8.432334840273883,5.515313821419739
43,8.547630297536267,4.356059960058877
43,4.489475767212677,8.599524908092718
43,3.110310081771182,8.72189920836866
43,8.407408005638448,5.66023459907219
43,7.706416614813605,7.6209925898759305
43,3.426054677317777,8.707093971889986
43,6.520665411644276,8.235742171092376
43,3.8801104336937082,8.665439922732594
43,3.5571435582970707,8.699269743407678
43,8.134094998202574,7.070279368652131
43,8.040395099084282,7.5699274461684345
43,7.118342988515051,8.109488296471072
43,4.3327351165564005,8.615374047172391
43,6.639877529045401,8.21355451529447
43,4.01462593899094,8.651349823193328
43,5.7334456100626,8.379450850012502
43,6.375836072190204,8.270928476522302
43,4.142718884013584,8.625741582050319
43,8.49582968433484,4.963809729037856
