Run,Objective 1,Objective 2
42,0.9135172474836407,0.0
42,0.0,0.9135172474836407
43,0.9135172474836407,0.0
43,0.0,0.9135172474836407
44,0.9135172474836407,0.0
44,0.0,0.9135172474836407
45,0.9135172474836407,0.0
45,0.0,0.9135172474836407
46,0.9135172474836407,0.0
46,0.0,0.9135172474836407
47,0.9135172474836407,0.0
47,0.0,0.9135172474836407
48,0.9135172474836407,0.0
48,0.0,0.9135172474836407
49,0.9135172474836407,0.0
49,0.0,0.9135172474836407
50,0.9135172474836407,0.0
50,0.0,0.9135172474836407
51,0.9135172474836407,0.0
51,0.0,0.9135172474836407
52,0.9135172474836407,0.0
52,0.0,0.9135172474836407
53,0.9135172474836407,0.0
53,0.0,0.9135172474836407
54,0.9135172474836407,0.0
54,0.0,0.9135172474836407
55,0.9135172474836407,0.0
55,0.0,0.9135172474836407
56,0.9135172474836407,0.0
56,0.0,0.9135172474836407
57,0.9135172474836407,0.0
57,0.0,0.9135172474836407
58,0.9135172474836407,0.0
58,0.0,0.9135172474836407
59,0.9135172474836407,0.0
59,0.0,0.9135172474836407
60,0.9135172474836407,0.0
60,0.0,0.9135172474836407
61,0.9135172474836407,0.0
61,0.0,0.9135172474836407
62,0.9135172474836407,0.0
62,0.0,0.9135172474836407
63,0.9135172474836407,0.0
63,0.0,0.9135172474836407
64,0.9135172474836407,0.0
64,0.0,0.9135172474836407
65,0.9135172474836407,0.0
65,0.0,0.9135172474836407
66,0.9135172474836407,0.0
66,0.0,0.9135172474836407
67,0.9135172474836407,0.0
67,0.0,0.9135172474836407
68,0.9135172474836407,0.0
68,0.0,0.9135172474836407
69,0.9135172474836407,0.0
69,0.0,0.9135172474836407
70,0.9135172474836407,0.0
70,0.0,0.9135172474836407
71,0.9135172474836407,0.0
71,0.0,0.9135172474836407
