Run,Objective 1,Objective 2
42,4.583951336344804,4.31569918898882
43,3.438771200481689,3.0771611343670453
43,2.8970861245148365,4.140903354718633
43,3.42799166746995,3.641066324819433
44,3.58714688061661,3.438771200481689
44,4.140903354718633,3.42799166746995
45,4.093109975085909,4.333723247430025
45,4.583951336344804,3.8985783090556008
46,2.909247357581539,2.440975648303174
46,1.622401068988392,3.090078276671576
46,2.8970861245148365,3.0771611343670453
47,4.039190530883087,3.918912657053111
47,4.583951336344804,3.8985783090556008
48,2.8970861245148365,3.641066324819433
48,2.909247357581539,2.440975648303174
49,3.641066324819433,3.42799166746995
49,3.380263741732935,3.9602725719806524
49,2.6831765930554163,4.007426554097795
50,4.583951336344804,3.8985783090556008
51,3.0771611343670453,3.438771200481689
51,3.641066324819433,3.42799166746995
52,4.140903354718633,4.324168432444253
52,4.984635989296344,3.8985783090556008
52,4.976662364702609,4.31569918898882
53,3.8985783090556008,4.140903354718633
54,4.583951336344804,3.8985783090556008
55,4.976662364702609,4.685428826638546
56,3.42799166746995,4.140903354718633
56,3.377227581086257,4.151052071068997
56,3.438771200481689,3.0771611343670453
57,3.8985783090556008,4.583951336344804
58,3.0771611343670453,3.438771200481689
58,4.151052071068997,2.8970861245148365
58,4.140903354718633,3.42799166746995
59,3.641066324819433,3.908133124041369
59,4.140903354718633,3.8985783090556008
59,4.151052071068997,2.8970861245148365
60,3.380263741732935,3.4801311154092316
60,4.151052071068997,2.8970861245148365
60,4.140903354718633,3.42799166746995
61,3.908133124041369,3.641066324819433
61,3.8985783090556008,4.583951336344804
62,4.583951336344804,3.8985783090556008
63,4.365305216911627,3.5263161445296687
63,4.324168432444253,4.140903354718633
63,4.353143983844922,3.58714688061661
63,4.3948690893743025,2.9613161709534794
63,3.42799166746995,4.592947004985106
63,3.8985783090556008,4.583951336344804
64,3.8985783090556008,4.140903354718633
64,2.7752033844881114,4.175418772898069
65,4.140903354718633,3.42799166746995
66,3.641066324819433,3.908133124041369
66,4.583951336344804,3.8985783090556008
67,4.565187924615449,3.8786486145832364
67,4.140903354718633,3.8985783090556008
67,3.42799166746995,4.140903354718633
68,3.42799166746995,4.140903354718633
69,4.076678371184655,3.8381117619627543
69,4.157668586737051,3.109963033772147
69,4.206432365568521,3.1002142173393645
70,4.140903354718633,3.8985783090556008
71,3.8985783090556008,4.140903354718633
